title,url,time_added,tags,status
"Notes on structured concurrency, or: Go statement considered harmful",https://vorpus.org/blog/notes-on-structured-concurrency-or-go-statement-considered-harmful/,1711900000,concurrency,unread
"OpenAI Announces GPT-5",https://techcrunch.com/2024/03/15/openai-announces-gpt5/,1711910000,ai,unread
"10 Must-Have VS Code Extensions in 2024",https://dev.to/top-10-vscode-extensions-2024,1711920000,tools,unread
"Salary Negotiation: Make More Money Be More Valued",https://www.kalzumeus.com/2012/01/23/salary-negotiation/,1711930000,career,unread
"The C10K problem",http://www.kegel.com/c10k.html,1711940000,system/network,unread
"Why We Moved Off Microservices",https://www.infoworld.com/article/3689973/why-we-moved-off-microservices.html,1711950000,architecture,unread
"Load Balancing",https://samwho.dev/load-balancing/,1711960000,distributed-systems,unread
"A Visual Guide to Quantization",https://newsletter.maartengrootendorst.com/p/a-visual-guide-to-quantization,1711970000,ml,unread
"Best Laptops 2024: Top 10 Picks",https://www.techradar.com/best/best-laptops,1711980000,shopping,unread
"The Illustrated TLS Connection",https://tls.ulfheim.net/,1711990000,security,unread
